"state","bill_id","title","session","lastAction","signed","source","id"
"ny","A 3396","Regulates the use of unmanned aerial vehicles by the state and political subdivisions thereof","2017-2018","2018-01-03",,"undefinedhttps://legislation.nysenate.gov/api/3/bills/2017-2018/A3396?summary=&detail=|http://www.nysenate.gov/legislation/bills/2017/A3396|http://assembly.state.ny.us/leg/?default_fld=&bn=A3396&Summary=Y&Actions=Y&Text=Y|http://assembly.state.ny.us/leg/?default_fld=&bn=A3396&term=2017&Floor%26nbspVotes=Y|","NYB00099850"
"ny","A 7243","Imposes strict liability on manufacturers, owners, and operators of unmanned motor vehicles","2017-2018","2018-01-03",,"undefinedhttps://legislation.nysenate.gov/api/3/bills/2017-2018/A7243?summary=&detail=|http://www.nysenate.gov/legislation/bills/2017/A7243|http://assembly.state.ny.us/leg/?default_fld=&bn=A7243&Summary=Y&Actions=Y&Text=Y|http://assembly.state.ny.us/leg/?default_fld=&bn=A7243&term=2017&Floor%26nbspVotes=Y|","NYB00107008"
"ny","A 8377","Relates to the unlawful use of an unmanned aircraft","2017-2018","2018-01-03",,"undefinedhttp://legislation.nysenate.gov/api/3/bills/2017-2018/A8377?summary=&detail=|http://www.nysenate.gov/legislation/bills/2017/A8377|http://assembly.state.ny.us/leg/?default_fld=&bn=A8377&Summary=Y&Actions=Y&Text=Y|","NYB00111940"
"ny","S 1955","Includes the possession of an unmanned aircraft containing a deadly weapon within the class C felony of criminal possession of a weapon in the second degree","2017-2018","2017-06-21",,"undefinedhttps://legislation.nysenate.gov/api/3/bills/2017-2018/S1955?summary=&detail=|http://www.nysenate.gov/legislation/bills/2017/S1955|http://assembly.state.ny.us/leg/?default_fld=&bn=S1955&Summary=Y&Actions=Y&Text=Y|","NYB00095767"
"ma","H 3496","An Act relative to unmanned aerial vehicles","190th","2018-08-09",,"https://malegislature.gov/Bills/190/H3496","MAB00026440"
"ma","H 3581","An Act to regulate the use of unmanned aerial vehicles","190th","2018-08-09",,"https://malegislature.gov/Bills/190/H3581","MAB00026586"
"ma","S 1349","An Act to regulate the use of unmanned aerial vehicles","190th","2018-02-26",,"https://malegislature.gov/Bills/190/S1349","MAB00022027"
"ma","S 1348","An Act relative to the use of unmanned aerial systems","190th","2018-02-26",,"https://malegislature.gov/Bills/190/S1348","MAB00022684"
"mn","SF 2043","Unmanned aircraft (drones) registration requirement","2017-2018","2017-03-13",,"https://www.revisor.mn.gov/bills/bill.php?b=Senate&f=SF2043&ssn=0&y=2017","MNB00032736"
"mn","SF 1529","Law enforcement agencies use of unmanned aerial cameras (drones) to gather evidence under certain circumstances prohibition","2017-2018","2017-02-27",,"https://www.revisor.mn.gov/bills/bill.php?b=Senate&f=SF1529&ssn=0&y=2017","MNB00031599"
"mn","SF 1094","Unmanned aerial vehicles (drones) use by law enforcement agencies regulation","2017-2018","2017-02-16",,"https://www.revisor.mn.gov/bills/bill.php?b=Senate&f=SF1094&ssn=0&y=2017","MNB00030609"
"mn","SF 124","Unmanned aircraft (drones) taking, harming, or harassing wild animals prohibition","2017-2018","2017-01-17",,"https://www.revisor.mn.gov/bills/bill.php?b=Senate&f=SF0124&ssn=0&y=2017","MNB00028707"
"ny","A 10939","Relates to conducting unlawful surveillance by use of a drone","2017-2018","2018-05-29",,"undefinedhttps://legislation.nysenate.gov/api/3/bills/2017-2018/A10939?summary=&detail=|http://www.nysenate.gov/legislation/bills/2017/A10939|http://assembly.state.ny.us/leg/?default_fld=&bn=A10939&Summary=Y&Actions=Y&Text=Y|http://assembly.state.ny.us/leg/?default_fld=&bn=A10939&term=2017&Floor%26nbspVotes=Y|","NYB00122036"
"ny","S 2125","Relates to prohibiting civilian drone use within 1000 ft of a correctional facility","2017-2018","2018-03-20",,"undefinedhttps://legislation.nysenate.gov/api/3/bills/2017-2018/S2125?summary=&detail=|http://www.nysenate.gov/legislation/bills/2017/S2125|http://assembly.state.ny.us/leg/?default_fld=&bn=S2125&Summary=Y&Actions=Y&Text=Y|","NYB00095115"
"ny","S 1174","Imposes limitations on the use of drones within the state","2017-2018","2018-01-03",,"undefinedhttps://legislation.nysenate.gov/api/3/bills/2017-2018/S1174?summary=&detail=|http://www.nysenate.gov/legislation/bills/2017/S1174|http://assembly.state.ny.us/leg/?default_fld=&bn=S1174&Summary=Y&Actions=Y&Text=Y|","NYB00093707"
"ny","A 901","Imposes limitations on the use of drones within the state","2017-2018","2018-01-03",,"undefinedhttps://legislation.nysenate.gov/api/3/bills/2017-2018/A901?summary=&detail=|http://www.nysenate.gov/legislation/bills/2017/A901|http://assembly.state.ny.us/leg/?default_fld=&bn=A901&Summary=Y&Actions=Y&Text=Y|http://assembly.state.ny.us/leg/?default_fld=&bn=A901&term=2017&Floor%26nbspVotes=Y|","NYB00094883"
"ny","S 4710","Relates to conducting unlawful surveillance by use of a drone","2017-2018","2018-01-03",,"undefinedhttps://legislation.nysenate.gov/api/3/bills/2017-2018/S4710?summary=&detail=|http://www.nysenate.gov/legislation/bills/2017/S4710|http://assembly.state.ny.us/leg/?default_fld=&bn=S4710&Summary=Y&Actions=Y&Text=Y|","NYB00103839"
"ny","A 6930","Relates to prohibiting civilian drone use within 1000 ft of a correctional facility","2017-2018","2018-01-03",,"undefinedhttps://legislation.nysenate.gov/api/3/bills/2017-2018/A6930?summary=&detail=|http://www.nysenate.gov/legislation/bills/2017/A6930|http://assembly.state.ny.us/leg/?default_fld=&bn=A6930&Summary=Y&Actions=Y&Text=Y|http://assembly.state.ny.us/leg/?default_fld=&bn=A6930&term=2017&Floor%26nbspVotes=Y|","NYB00105990"
"ny","A 4674","Relates to conducting unlawful surveillance by use of a drone","2017-2018","2017-10-11",,"undefinedhttps://legislation.nysenate.gov/api/3/bills/2017-2018/A4674?summary=&detail=|http://www.nysenate.gov/legislation/bills/2017/A4674|http://assembly.state.ny.us/leg/?default_fld=&bn=A4674&Summary=Y&Actions=Y&Text=Y|http://assembly.state.ny.us/leg/?default_fld=&bn=A4674&term=2017&Floor%26nbspVotes=Y|","NYB00101483"
"al","SB 372","Unmanned aircraft systems or drones, prohibited from flying over certain facilities, sale, operation, manufacturing of drones equipped with a weapon are prohibited, criminal penalties, use by governmental agencies authorized under certain conditions, rulemaking authority, Unmanned Aircraft Systems Act, Secs. 13A-6-24, 13A-6-90.1, 13A-7-22, 13A-10-2, 13A-10-38, 13A-11-32, 23-1-388 am'd.","2017rs","2017-04-13",,"undefinedhttp://alisondb.legislature.state.al.us/Alison/SESSBillsList.aspx?STATUSCODES=Had%20First%20Reading%20House%20of%20Origin&BODY=999999|http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=SB372|","ALB00012682"
"al","HB 507","Unmanned aircraft systems or drones, prohibited from flying over certain facilities, sale, operation, manufacturing of drones equipped with a weapon are prohibited, criminal penalties, use by governmental agencies authorized under certain conditions, rulemaking authority, Unmanned Aircraft Systems Act, Secs. 13A-6-24, 13A-6-90.1, 13A-7-22, 13A-10-2, 13A-10-38, 13A-11-32, 23-1-388 am'd.","2017rs","2017-04-13",,"undefinedhttp://alisondb.legislature.state.al.us/Alison/SESSBillsList.aspx?STATUSCODES=Had%20First%20Reading%20House%20of%20Origin&BODY=999999|http://alisondb.legislature.state.al.us/Alison/SESSBillStatusResult.aspx?BILL=HB507|","ALB00012683"
